C,C1,C2
0,0,0
1e-11,0,1e-11
1e-11,1e-11,0
1.2e-11,0,1.2e-11
1.2e-11,1.2e-11,0
1.5e-11,0,1.5e-11
1.5e-11,1.5e-11,0
1.8e-11,0,1.8e-11
1.8e-11,1.8e-11,0
2e-11,1e-11,1e-11
2.1999999999999998e-11,0,2.1999999999999998e-11
2.1999999999999998e-11,2.1999999999999998e-11,0
2.2e-11,1e-11,1.2e-11
2.2e-11,1.2e-11,1e-11
2.4e-11,1.2e-11,1.2e-11
2.4999999999999998e-11,1e-11,1.5e-11
2.4999999999999998e-11,1.5e-11,1e-11
2.7e-11,0,2.7e-11
2.7e-11,1.2e-11,1.5e-11
2.7e-11,1.5e-11,1.2e-11
2.7e-11,2.7e-11,0
2.8e-11,1e-11,1.8e-11
2.8e-11,1.8e-11,1e-11
3e-11,1.2e-11,1.8e-11
3e-11,1.5e-11,1.5e-11
3e-11,1.8e-11,1.2e-11
3.2e-11,1e-11,2.1999999999999998e-11
3.2e-11,2.1999999999999998e-11,1e-11
3.3e-11,0,3.3e-11
3.3e-11,1.5e-11,1.8e-11
3.3e-11,1.8e-11,1.5e-11
3.3e-11,3.3e-11,0
3.4e-11,1.2e-11,2.1999999999999998e-11
3.4e-11,2.1999999999999998e-11,1.2e-11
3.6e-11,1.8e-11,1.8e-11
3.7e-11,1e-11,2.7e-11
3.7e-11,1.5e-11,2.1999999999999998e-11
3.7e-11,2.1999999999999998e-11,1.5e-11
3.7e-11,2.7e-11,1e-11
3.9e-11,0,3.9e-11
3.9e-11,1.2e-11,2.7e-11
3.9e-11,2.7e-11,1.2e-11
3.9e-11,3.9e-11,0
4e-11,1.8e-11,2.1999999999999998e-11
4e-11,2.1999999999999998e-11,1.8e-11
4.2e-11,1.5e-11,2.7e-11
4.2e-11,2.7e-11,1.5e-11
4.3e-11,1e-11,3.3e-11
4.3e-11,3.3e-11,1e-11
4.3999999999999997e-11,2.1999999999999998e-11,2.1999999999999998e-11
4.5e-11,1.2e-11,3.3e-11
4.5e-11,1.8e-11,2.7e-11
4.5e-11,2.7e-11,1.8e-11
4.5e-11,3.3e-11,1.2e-11
4.7e-11,0,4.7e-11
4.7e-11,4.7e-11,0
4.8e-11,1.5e-11,3.3e-11
4.8e-11,3.3e-11,1.5e-11
4.9e-11,1e-11,3.9e-11
4.9e-11,2.1999999999999998e-11,2.7e-11
4.9e-11,2.7e-11,2.1999999999999998e-11
4.9e-11,3.9e-11,1e-11
5.1000000000000005e-11,1.2e-11,3.9e-11
5.1000000000000005e-11,1.8e-11,3.3e-11
5.1000000000000005e-11,3.3e-11,1.8e-11
5.1000000000000005e-11,3.9e-11,1.2e-11
5.4e-11,1.5e-11,3.9e-11
5.4e-11,2.7e-11,2.7e-11
5.4e-11,3.9e-11,1.5e-11
5.5000000000000004e-11,2.1999999999999998e-11,3.3e-11
5.5000000000000004e-11,3.3e-11,2.1999999999999998e-11
5.6e-11,0,5.6e-11
5.6e-11,5.6e-11,0
5.7e-11,1e-11,4.7e-11
5.7e-11,1.8e-11,3.9e-11
5.7e-11,3.9e-11,1.8e-11
5.7e-11,4.7e-11,1e-11
5.9e-11,1.2e-11,4.7e-11
5.9e-11,4.7e-11,1.2e-11
6e-11,2.7e-11,3.3e-11
6e-11,3.3e-11,2.7e-11
6.1e-11,2.1999999999999998e-11,3.9e-11
6.1e-11,3.9e-11,2.1999999999999998e-11
6.199999999999999e-11,1.5e-11,4.7e-11
6.199999999999999e-11,4.7e-11,1.5e-11
6.5e-11,1.8e-11,4.7e-11
6.5e-11,4.7e-11,1.8e-11
6.6e-11,1e-11,5.6e-11
6.6e-11,2.7e-11,3.9e-11
6.6e-11,3.3e-11,3.3e-11
6.6e-11,3.9e-11,2.7e-11
6.6e-11,5.6e-11,1e-11
6.8e-11,0,6.8e-11
6.8e-11,1.2e-11,5.6e-11
6.8e-11,5.6e-11,1.2e-11
6.8e-11,6.8e-11,0
6.9e-11,2.1999999999999998e-11,4.7e-11
6.9e-11,4.7e-11,2.1999999999999998e-11
7.1e-11,1.5e-11,5.6e-11
7.1e-11,5.6e-11,1.5e-11
7.200000000000001e-11,3.3e-11,3.9e-11
7.200000000000001e-11,3.9e-11,3.3e-11
7.4e-11,1.8e-11,5.6e-11
7.4e-11,2.7e-11,4.7e-11
7.4e-11,4.7e-11,2.7e-11
7.4e-11,5.6e-11,1.8e-11
7.8e-11,1e-11,6.8e-11
7.8e-11,2.1999999999999998e-11,5.6e-11
7.8e-11,3.9e-11,3.9e-11
7.8e-11,5.6e-11,2.1999999999999998e-11
7.8e-11,6.8e-11,1e-11
8e-11,1.2e-11,6.8e-11
8e-11,6.8e-11,1.2e-11
8.000000000000001e-11,3.3e-11,4.7e-11
8.000000000000001e-11,4.7e-11,3.3e-11
8.2e-11,0,8.2e-11
8.2e-11,8.2e-11,0
8.3e-11,1.5e-11,6.8e-11
8.3e-11,2.7e-11,5.6e-11
8.3e-11,5.6e-11,2.7e-11
8.3e-11,6.8e-11,1.5e-11
8.6e-11,1.8e-11,6.8e-11
8.6e-11,3.9e-11,4.7e-11
8.6e-11,4.7e-11,3.9e-11
8.6e-11,6.8e-11,1.8e-11
8.9e-11,3.3e-11,5.6e-11
8.9e-11,5.6e-11,3.3e-11
9e-11,2.1999999999999998e-11,6.8e-11
9e-11,6.8e-11,2.1999999999999998e-11
9.2e-11,1e-11,8.2e-11
9.2e-11,8.2e-11,1e-11
9.4e-11,1.2e-11,8.2e-11
9.4e-11,4.7e-11,4.7e-11
9.4e-11,8.2e-11,1.2e-11
9.5e-11,2.7e-11,6.8e-11
9.5e-11,6.8e-11,2.7e-11
9.500000000000001e-11,3.9e-11,5.6e-11
9.500000000000001e-11,5.6e-11,3.9e-11
9.7e-11,1.5e-11,8.2e-11
9.7e-11,8.2e-11,1.5e-11
